"","x","y","areaId","pr"
"533",484916.00908289,401090.763603867,"1112",0.005
"534",485914.739049651,401090.618703862,"1113",0.00575
"535",486913.468649668,401090.483753861,"1114",0.01075
"536",487912.197924686,401090.358712155,"1115",0.01775
"537",488910.926899701,401090.24355386,"1116",0.0585
"538",489909.655658089,401090.138378858,"1117",0.1245
"539",490908.384133107,401090.043137152,"1118",0.162
"540",491907.112358122,401089.957778857,"1119",NA
"541",456950.904715563,400104.76512064,"1143",0.1865
"542",457949.664207221,400104.343462234,"1144",0.19275
"543",458948.42266561,400103.931687225,"1145",0.181
"544",459947.180115626,400103.529837223,"1146",0.14425
"545",460945.936599008,400103.137853921,"1147",0.10375
"546",461944.692090652,400102.755778926,"1148",0.06975
"547",462943.446674046,400102.383612212,"1149",0.046
"548",463942.20035743,400102.02132891,"1150",0.03675
"549",464940.953124079,400101.668962209,"1151",0.02625
"550",465939.705024095,400101.326462209,"1152",0.0165
"551",466938.456115851,400100.993853902,"1153",0.0095
"552",467937.206357495,400100.671178905,"1154",0.0045
"553",468935.955840889,400100.358412193,"1155",0.00225
"554",469934.704549155,400100.055503908,"1156",0.001
"555",470933.452540921,400099.762512191,"1157",0.00075
"556",471932.199774305,400099.479428891,"1158",0.001
"557",472930.946315949,400099.206253894,"1159",0.0015
"558",473929.692224347,400098.942945477,"1160",0.00025
"559",474928.437465982,400098.689503892,"1161",0.00325
"560",475927.182132743,400098.446003883,"1162",0.004
"561",476925.926149391,400098.212437181,"1163",0.008
"562",477924.669624403,400097.988728885,"1164",0.00925
